Hydrant,Latitude,Longitude,Capacity_L_min,Available,Capacity_source,Public_hydrant_object_id,Model_type,Location_source
H0052,55.654765,12.593993,1600,True,simulated_from_model_type,52,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0053,55.675643,12.602623,1600,True,simulated_from_model_type,53,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0054,55.678362,12.602308,1600,True,simulated_from_model_type,54,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0055,55.677287,12.602055,1600,True,simulated_from_model_type,55,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0056,55.684065,12.607966,1600,True,simulated_from_model_type,56,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0057,55.649743,12.622557,800,True,simulated_from_model_type,57,"unset, unset",6100_Brandhaner__Koebenhavn
H0058,55.676308,12.639387,600,True,simulated_from_model_type,58,"unset, 50 mm",6100_Brandhaner__Koebenhavn
H0059,55.673544,12.638496,1600,True,simulated_from_model_type,59,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0060,55.666296,12.577637,1600,True,simulated_from_model_type,60,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0061,55.654743,12.605452,1600,True,simulated_from_model_type,61,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0062,55.668406,12.59959,1600,True,simulated_from_model_type,62,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0063,55.661815,12.602303,1600,True,simulated_from_model_type,63,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0064,55.653617,12.593887,1600,True,simulated_from_model_type,64,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0065,55.656644,12.611001,1200,True,simulated_from_model_type,65,"unset, 80 mm",6100_Brandhaner__Koebenhavn
H0066,55.668099,12.621506,1600,True,simulated_from_model_type,66,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0067,55.623995,12.530585,2000,True,simulated_from_model_type,67,"KV 1916, 110 mm",6100_Brandhaner__Koebenhavn
H0068,55.621142,12.576712,1600,True,simulated_from_model_type,68,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0069,55.628919,12.578765,800,True,simulated_from_model_type,69,"unset, unset",6100_Brandhaner__Koebenhavn
H0070,55.66678,12.594512,1600,True,simulated_from_model_type,70,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0071,55.6596,12.604163,1600,True,simulated_from_model_type,71,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0072,55.663106,12.602967,2000,True,simulated_from_model_type,72,"unset, 110 mm",6100_Brandhaner__Koebenhavn
